"player_id","season_name","general_position","team_id","minutes_played","goals_added_above_avg_Dribbling","goals_added_above_avg_Fouling","goals_added_above_avg_Interrupting","goals_added_above_avg_Passing","goals_added_above_avg_Receiving","goals_added_above_avg_Shooting","count_actions_Dribbling","count_actions_Fouling","count_actions_Interrupting","count_actions_Passing","count_actions_Receiving","count_actions_Shooting","offensive_goals_added"
"2lqRkoYxQr","2020","CM","vzqoOgNqap",29,-0.0028,0,8e-04,-0.02,0.0383,-0.0077,0,0,3,12,10,0,0.0078
"2lqRkoYxQr","2020","FB","vzqoOgNqap",203,0.0652,-0.0031,0.0373,-0.057,-0.0265,-0.0235,27,4,19,116,78,0,-0.0449
"2lqRkoYxQr","2020","ST","vzqoOgNqap",11,0.013,-0.0016,-0.0037,-0.0039,-0.025,-0.0083,1,0,0,2,2,0,-0.0258
"2lqRkoYxQr","2020","W","vzqoOgNqap",275,-0.0387,-0.0505,0.1377,0.1673,-0.2171,-0.1331,34,6,34,80,65,1,-0.2721
"2lqRkoYxQr","2021","CB","vzqoOgNqap",15,-0.0155,0.0015,-0.013,0.0085,-0.0026,-0.0017,2,1,3,8,4,0,-0.0098
"2lqRkoYxQr","2021","FB","vzqoOgNqap",1076,0.1884,-0.1941,0.1375,-0.3298,-0.2069,-0.1244,119,11,106,453,323,0,-0.6668
"2lqRkoYxQr","2021","W","vzqoOgNqap",26,0.035,-0.012,0.0117,-0.0159,-0.0311,-0.0133,2,1,3,8,6,0,-0.0373
"2lqRkoYxQr","2022","CB","vzqoOgNqap",48,0.033,0.0052,-0.0052,-0.0291,-0.0033,-0.0054,4,0,3,15,11,1,0.000399999999999997
"2lqRkoYxQr","2022","CM","vzqoOgNqap",10,-0.001,-0.0166,0.0029,-0.0018,-0.0046,-0.0027,0,1,1,1,0,0,-0.0267
"2lqRkoYxQr","2022","FB","vzqoOgNqap",530,-0.0148,0.000500000000000001,0.1416,-0.0881,-0.0599,-0.024,51,7,49,239,170,1,-0.1863
"2lqRkoYxQr","2022","W","vzqoOgNqap",100,0.1089,-0.0101,0.0172,0.0127,-0.0794,-0.0512,17,0,8,55,39,0,-0.0191
"2lqRkPA0Qr","2018","ST","YgOMngl5wN",160,-0.1093,-0.0259,0.0162,-0.2895,-0.1472,-0.0648,19,12,12,32,35,3,-0.6367
"2lqRkPA0Qr","2018","W","YgOMngl5wN",121,-0.0547,-0.0148,-0.042,-0.0245,-0.0366,0.0671,22,6,6,28,38,4,-0.0635
"2lqRkPA0Qr","2019","AM","YgOMngl5wN",14,-0.0018,-0.0018,-0.0065,0.0265,-0.0115,-0.0047,2,1,0,3,5,1,0.0067
"2lqRkPA0Qr","2019","ST","YgOMngl5wN",148,0.0197,-0.0228,0.0093,-0.0805,-0.1883,-0.0732,19,7,8,37,38,1,-0.3451
"2lqRkPA0Qr","2019","W","YgOMngl5wN",21,-0.049,-0.0038,-0.01,-0.0304,0.02,-0.0108,3,1,0,9,9,0,-0.074
