player_name,Team,Season,Position,Minutes,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added,goals_added_per_90
Alessandro Schöpf,VAN,2023,CM,1906,-0.28,0.07,-0.03,-0.66,0.13,0.11,-0.65,-0.03069254984
Steven Beitashour,COL,2023,FB,671,-0.1,0.01,0.16,-0.13,-0.1,-0.08,-0.23,-0.03084947839
Luis Abram,ATL,2023,CB,1654,0.15,-0.13,0.33,-0.26,-0.47,-0.19,-0.57,-0.03101571947
Róbert Orri Thorkelsson,MTL,2023,CB,261,0.01,-0.01,0.12,0.01,-0.15,-0.07,-0.09,-0.03103448276
Josh Bauer,NSH,2023,CB,578,-0.02,-0.03,0.05,-0.09,-0.04,-0.08,-0.2,-0.03114186851
Aníbal Godoy,NSH,2023,CM,1816,-0.02,-0.31,0.18,0.17,-0.35,-0.3,-0.63,-0.03122246696
Scott Arfield,CLT,2023,CM,505,0.05,-0.02,-0.13,-0.1,-0.17,0.19,-0.18,-0.03207920792
Alexander Ring,ATX,2023,CB,2397,-0.36,-0.02,-0.4,-0.07,0.04,-0.05,-0.86,-0.03229036295
David Junior Hoilett,VAN,2023,ST,278,0.06,-0.01,0.03,0.13,-0.27,-0.05,-0.1,-0.03237410072
Isak Jensen,STL,2023,W,194,0,0,0.08,-0.1,-0.13,0.08,-0.07,-0.0324742268
Gabriel Pirani,DCU,2023,AM,913,-0.06,-0.01,0.05,-0.53,0.15,0.07,-0.33,-0.03253012048
Jonathan Mensah,SJE,2023,CB,2209,-0.16,-0.13,-0.35,-0.04,-0.2,0.07,-0.81,-0.03300135808
Santiago Rodríguez,NYC,2023,AM,2883,-0.54,0.19,0.22,0.81,-1.22,-0.52,-1.06,-0.0330905307
Mateusz Klich,DCU,2023,CM,3025,-1.16,-0.06,-0.18,1.26,-0.86,-0.13,-1.12,-0.03332231405
Ramiro Enrique,ORL,2023,ST,1237,-0.14,-0.35,-0.1,-0.41,0.28,0.27,-0.46,-0.03346806791
Paxton Pomykal,FCD,2023,CM,1734,0.13,-0.03,0.1,-0.37,-0.23,-0.25,-0.65,-0.03373702422
Julián Aude,LAG,2023,FB,1325,-0.02,0.06,-0.12,-0.46,-0.05,0.1,-0.5,-0.03396226415
